"ID","영역","시나리오","판정","Given","When","Then","실제 오류","화면 증거"
"C01","client-basic","첫 화면과 실제 3D 장면","통과","공개된 도서가 있는 새 브라우저","사용자 첫 화면에 접속한다","책 제목과 시작 버튼 및 3D 화면이 보인다","","evidence/C01.png"
"C02","client-basic","처음 탐험할 때 사용 안내","통과","탐험 기록이 없는 사용자","책 속으로 들어가기를 누른다","사용 안내가 열리고 닫은 뒤 탐험할 수 있다","","evidence/C02.png"
"C03","client-basic","반복 방문 시 안내를 중복 표시하지 않음","통과","사용 안내를 이미 본 사용자","책 속으로 다시 들어간다","안내창 없이 탐험을 시작한다","","evidence/C03.png"
"C04","client-basic","도서 선택과 표지 정보","통과","사용자가 첫 화면에 있다","책장에서 오즈의 마법사를 선택한다","선택한 책 제목과 작가 및 장면 수가 표시된다","","evidence/C04.png"
"C05","client-basic","사용 안내의 키보드 닫기와 초점 복귀","통과","첫 화면에서 안내 버튼에 초점을 둔다","안내를 열고 Escape를 누른다","안내가 닫히고 원래 버튼으로 초점이 돌아온다","","evidence/C05.png"
"C06","client-basic","소리 켜기와 끄기","통과","사용자 화면에서 소리가 꺼져 있다","소리 버튼을 두 번 누른다","버튼의 이름과 켜짐 상태가 순서대로 바뀐다","","evidence/C06.png"
"C07","client-basic","첫 챕터의 이전 이동 제한","통과","첫 챕터에 접속한 사용자","챕터 이동 버튼을 확인한다","이전 버튼은 비활성이고 다음 버튼은 활성이다","","evidence/C07.png"
"C08","client-basic","마지막 챕터의 다음 이동 제한","통과","마지막 챕터에 접속한 사용자","챕터 이동 버튼을 확인한다","다음 버튼은 비활성이고 이전 버튼은 활성이다","","evidence/C08.png"
"C09","client-navigation","다음 챕터와 이전 챕터 이동","통과","첫 챕터에 있는 사용자","다음 버튼을 누른 뒤 이전 버튼을 누른다","장면 이름과 주소가 각각 둘째 및 첫째 챕터로 바뀐다","","evidence/C09.png"
"C10","client-navigation","마지막 방문 챕터 이어 읽기","통과","셋째 챕터를 방문해 기록이 저장되었다","홈으로 돌아가 책 속으로 들어간다","셋째 챕터부터 이어서 시작한다","","evidence/C10.png"
"C11","client-navigation","잘못된 책 주소에서 복구","통과","존재하지 않는 책 식별자가 주소에 있다","사용자 화면을 연다","오류 없이 첫 공개 도서를 표시한다","","evidence/C11.png"
"C12","client-navigation","잘못된 챕터 주소에서 복구","통과","올바른 책과 존재하지 않는 챕터 주소","사용자 화면을 연다","첫 챕터를 탐험할 수 있다","","evidence/C12.png"
"C13","client-navigation","지도에서 현재 챕터 재선택","통과","둘째 챕터 탐험 중이다","지도에서 같은 챕터를 다시 선택한다","지도는 닫히고 장면과 주소가 유지된다","","evidence/C13.png"
"C14","client-navigation","글귀 페이지 앞뒤 이동과 끝 경계","통과","첫 챕터 메인 모델 근처에 도착했다","글귀를 끝까지 넘긴 뒤 한 페이지 돌아간다","글귀가 바뀌고 첫 페이지와 마지막 페이지의 이동이 제한된다","","evidence/C14.png"
"C15","client-navigation","모델에서 멀어지면 독서 창 숨김","통과","메인 모델 근처에서 글귀가 보인다","아래 방향키를 눌러 충분히 멀어진다","글귀가 숨겨지고 이동을 계속할 수 있다","","evidence/C15.png"
"C16","client-navigation","도서 전환 후 다른 책의 첫 장면","통과","앨리스 탐험 중이다","책장에서 오즈를 고르고 탐험을 시작한다","오즈의 첫 챕터와 해당 책의 지도를 표시한다","","evidence/C16.png"
"C17","client-chapters","공개 챕터 직접 접속: 흰 토끼를 따라서","통과","alice의 alice-1가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C17.png"
"C18","client-chapters","공개 챕터 직접 접속: 작아지는 문, 커지는 세계","통과","alice의 alice-2가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C18.png"
"C19","client-chapters","공개 챕터 직접 접속: 버섯 숲의 수수께끼","통과","alice의 alice-3가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C19.png"
"C20","client-chapters","공개 챕터 직접 접속: 끝나지 않는 티 파티","통과","alice의 alice-4가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C20.png"
